2023-02-14 21:03:23,970 INFO    MainThread:42060 [wandb_setup.py:_flush():68] Configure stats pid to 42060
2023-02-14 21:03:23,971 INFO    MainThread:42060 [wandb_setup.py:_flush():68] Loading settings from /home/daniel/.config/wandb/settings
2023-02-14 21:03:23,971 INFO    MainThread:42060 [wandb_setup.py:_flush():68] Loading settings from /home/daniel/PycharmProjects/genre_classification/segregate/wandb/settings
2023-02-14 21:03:23,971 INFO    MainThread:42060 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'run_group': 'dev', 'project': 'exercise_14', '_require_service': 'True'}
2023-02-14 21:03:23,971 INFO    MainThread:42060 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program_relpath': 'segregate/run.py', 'program': '/home/daniel/PycharmProjects/genre_classification/segregate/run.py'}
2023-02-14 21:03:23,971 INFO    MainThread:42060 [wandb_init.py:_log_setup():492] Logging user logs to /home/daniel/PycharmProjects/genre_classification/segregate/wandb/run-20230214_210323-kxz7yz50/logs/debug.log
2023-02-14 21:03:23,971 INFO    MainThread:42060 [wandb_init.py:_log_setup():493] Logging internal logs to /home/daniel/PycharmProjects/genre_classification/segregate/wandb/run-20230214_210323-kxz7yz50/logs/debug-internal.log
2023-02-14 21:03:23,971 INFO    MainThread:42060 [wandb_init.py:init():532] calling init triggers
2023-02-14 21:03:23,971 INFO    MainThread:42060 [wandb_init.py:init():538] wandb.init called with sweep_config: {}
config: {}
2023-02-14 21:03:23,971 INFO    MainThread:42060 [wandb_init.py:init():588] starting backend
2023-02-14 21:03:23,971 INFO    MainThread:42060 [wandb_init.py:init():592] setting up manager
2023-02-14 21:03:23,973 INFO    MainThread:42060 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-02-14 21:03:23,974 INFO    MainThread:42060 [wandb_init.py:init():599] backend started and connected
2023-02-14 21:03:23,977 INFO    MainThread:42060 [wandb_init.py:init():687] updated telemetry
2023-02-14 21:03:23,983 INFO    MainThread:42060 [wandb_init.py:init():727] communicating run to backend with 60.0 second timeout
2023-02-14 21:03:24,454 INFO    MainThread:42060 [wandb_run.py:_on_init():2134] communicating current version
2023-02-14 21:03:24,573 INFO    MainThread:42060 [wandb_run.py:_on_init():2143] got version response 
2023-02-14 21:03:24,573 INFO    MainThread:42060 [wandb_init.py:init():775] starting run threads in backend
2023-02-14 21:03:25,246 INFO    MainThread:42060 [wandb_run.py:_console_start():2114] atexit reg
2023-02-14 21:03:25,246 INFO    MainThread:42060 [wandb_run.py:_redirect():1969] redirect: SettingsConsole.WRAP_RAW
2023-02-14 21:03:25,247 INFO    MainThread:42060 [wandb_run.py:_redirect():2034] Wrapping output streams.
2023-02-14 21:03:25,247 INFO    MainThread:42060 [wandb_run.py:_redirect():2059] Redirects installed.
2023-02-14 21:03:25,247 INFO    MainThread:42060 [wandb_init.py:init():817] run started, returning control to user process
2023-02-14 21:03:32,773 WARNING MsgRouterThr:42060 [router.py:message_loop():77] message_loop has been closed
