2023-02-14 20:28:20,272 INFO    StreamThr :29622 [internal.py:wandb_internal():87] W&B internal server running at pid: 29622, started at: 2023-02-14 20:28:20.271602
2023-02-14 20:28:20,275 DEBUG   HandlerThread:29622 [handler.py:handle_request():144] handle_request: status
2023-02-14 20:28:20,276 INFO    WriterThread:29622 [datastore.py:open_for_write():85] open: /home/daniel/PycharmProjects/genre_classification/segregate/wandb/run-20230214_202820-m8nsvdw8/run-m8nsvdw8.wandb
2023-02-14 20:28:20,277 DEBUG   SenderThread:29622 [sender.py:send():336] send: header
2023-02-14 20:28:20,278 DEBUG   SenderThread:29622 [sender.py:send():336] send: run
2023-02-14 20:28:20,734 INFO    SenderThread:29622 [dir_watcher.py:__init__():216] watching files in: /home/daniel/PycharmProjects/genre_classification/segregate/wandb/run-20230214_202820-m8nsvdw8/files
2023-02-14 20:28:20,734 INFO    SenderThread:29622 [sender.py:_start_run_threads():1067] run started: m8nsvdw8 with start time 1676417300.270243
2023-02-14 20:28:20,734 DEBUG   SenderThread:29622 [sender.py:send_request():363] send_request: summary_record
2023-02-14 20:28:20,734 DEBUG   HandlerThread:29622 [handler.py:handle_request():144] handle_request: check_version
2023-02-14 20:28:20,734 INFO    SenderThread:29622 [sender.py:_save_file():1321] saving file wandb-summary.json with policy end
2023-02-14 20:28:20,734 DEBUG   SenderThread:29622 [sender.py:send_request():363] send_request: check_version
2023-02-14 20:28:20,843 DEBUG   HandlerThread:29622 [handler.py:handle_request():144] handle_request: run_start
2023-02-14 20:28:20,850 ERROR   HandlerThread:29622 [gpu.py:is_available():351] Error initializing NVML: Driver Not Loaded
2023-02-14 20:28:20,851 DEBUG   HandlerThread:29622 [system_info.py:__init__():31] System info init
2023-02-14 20:28:20,851 DEBUG   HandlerThread:29622 [system_info.py:__init__():46] System info init done
2023-02-14 20:28:20,851 INFO    HandlerThread:29622 [system_monitor.py:start():151] Starting system monitor
2023-02-14 20:28:20,851 INFO    SystemMonitor:29622 [system_monitor.py:_start():116] Starting system asset monitoring threads
2023-02-14 20:28:20,851 INFO    HandlerThread:29622 [system_monitor.py:probe():172] Collecting system info
2023-02-14 20:28:20,851 INFO    SystemMonitor:29622 [interfaces.py:start():168] Started cpu
2023-02-14 20:28:20,852 INFO    SystemMonitor:29622 [interfaces.py:start():168] Started disk
2023-02-14 20:28:20,852 INFO    SystemMonitor:29622 [interfaces.py:start():168] Started memory
2023-02-14 20:28:20,852 INFO    SystemMonitor:29622 [interfaces.py:start():168] Started network
2023-02-14 20:28:20,895 DEBUG   HandlerThread:29622 [system_info.py:probe():195] Probing system
2023-02-14 20:28:20,900 DEBUG   HandlerThread:29622 [system_info.py:_probe_git():180] Probing git
2023-02-14 20:28:20,906 DEBUG   HandlerThread:29622 [system_info.py:_probe_git():188] Probing git done
2023-02-14 20:28:20,906 DEBUG   HandlerThread:29622 [system_info.py:probe():241] Probing system done
2023-02-14 20:28:20,906 DEBUG   HandlerThread:29622 [system_monitor.py:probe():181] {'os': 'Linux-5.15.0-60-generic-x86_64-with-glibc2.31', 'python': '3.9.16', 'heartbeatAt': '2023-02-14T23:28:20.895840', 'startedAt': '2023-02-14T23:28:20.263295', 'docker': None, 'cuda': None, 'args': ('--input_artifact', 'preprocessed_data.csv:latest', '--artifact_root', 'data', '--artifact_type', 'segregated_data', '--test_size', '0.3', '--random_state', '42', '--stratify', 'genre'), 'state': 'running', 'program': '/home/daniel/PycharmProjects/genre_classification/segregate/run.py', 'codePath': 'segregate/run.py', 'git': {'remote': 'https://github.com/dangstan/genre_classification.git', 'commit': '4a2518d19eb9ecb90313aa20160a1d9ebb25e59b'}, 'email': 'dangstan@github.com', 'root': '/home/daniel/PycharmProjects/genre_classification', 'host': 'dangstan', 'username': 'daniel', 'executable': '/home/daniel/miniconda3/envs/mlflow-d5277452b147e07106060bbe6df198e1aef01d83/bin/python', 'cpu_count': 8, 'cpu_count_logical': 16, 'cpu_freq': {'current': 2277.618125, 'min': 2200.0, 'max': 3800.0}, 'cpu_freq_per_core': [{'current': 2200.0, 'min': 2200.0, 'max': 3800.0}, {'current': 2200.0, 'min': 2200.0, 'max': 3800.0}, {'current': 2200.0, 'min': 2200.0, 'max': 3800.0}, {'current': 2200.0, 'min': 2200.0, 'max': 3800.0}, {'current': 2200.0, 'min': 2200.0, 'max': 3800.0}, {'current': 2200.0, 'min': 2200.0, 'max': 3800.0}, {'current': 2200.0, 'min': 2200.0, 'max': 3800.0}, {'current': 2200.0, 'min': 2200.0, 'max': 3800.0}, {'current': 2200.0, 'min': 2200.0, 'max': 3800.0}, {'current': 2800.0, 'min': 2200.0, 'max': 3800.0}, {'current': 2588.126, 'min': 2200.0, 'max': 3800.0}, {'current': 2200.0, 'min': 2200.0, 'max': 3800.0}, {'current': 2200.0, 'min': 2200.0, 'max': 3800.0}, {'current': 2800.0, 'min': 2200.0, 'max': 3800.0}, {'current': 2200.0, 'min': 2200.0, 'max': 3800.0}, {'current': 2200.0, 'min': 2200.0, 'max': 3800.0}], 'disk': {'total': 447.6293258666992, 'used': 179.1855926513672}, 'memory': {'total': 46.940425872802734}}
2023-02-14 20:28:20,906 INFO    HandlerThread:29622 [system_monitor.py:probe():182] Finished collecting system info
2023-02-14 20:28:20,906 INFO    HandlerThread:29622 [system_monitor.py:probe():185] Publishing system info
2023-02-14 20:28:20,906 DEBUG   HandlerThread:29622 [system_info.py:_save_pip():51] Saving list of pip packages installed into the current environment
2023-02-14 20:28:20,906 DEBUG   HandlerThread:29622 [system_info.py:_save_pip():67] Saving pip packages done
2023-02-14 20:28:20,907 DEBUG   HandlerThread:29622 [system_info.py:_save_conda():74] Saving list of conda packages installed into the current environment
2023-02-14 20:28:21,547 DEBUG   HandlerThread:29622 [system_info.py:_save_conda():86] Saving conda packages done
2023-02-14 20:28:21,548 INFO    HandlerThread:29622 [system_monitor.py:probe():187] Finished publishing system info
2023-02-14 20:28:21,550 DEBUG   SenderThread:29622 [sender.py:send():336] send: files
2023-02-14 20:28:21,550 INFO    SenderThread:29622 [sender.py:_save_file():1321] saving file wandb-metadata.json with policy now
2023-02-14 20:28:21,555 DEBUG   SenderThread:29622 [sender.py:send():336] send: telemetry
2023-02-14 20:28:21,555 DEBUG   HandlerThread:29622 [handler.py:handle_request():144] handle_request: stop_status
2023-02-14 20:28:21,556 DEBUG   SenderThread:29622 [sender.py:send_request():363] send_request: stop_status
2023-02-14 20:28:21,736 INFO    Thread-13 :29622 [dir_watcher.py:_on_file_created():275] file/dir created: /home/daniel/PycharmProjects/genre_classification/segregate/wandb/run-20230214_202820-m8nsvdw8/files/output.log
2023-02-14 20:28:21,736 INFO    Thread-13 :29622 [dir_watcher.py:_on_file_created():275] file/dir created: /home/daniel/PycharmProjects/genre_classification/segregate/wandb/run-20230214_202820-m8nsvdw8/files/conda-environment.yaml
2023-02-14 20:28:21,736 INFO    Thread-13 :29622 [dir_watcher.py:_on_file_created():275] file/dir created: /home/daniel/PycharmProjects/genre_classification/segregate/wandb/run-20230214_202820-m8nsvdw8/files/wandb-metadata.json
2023-02-14 20:28:21,736 INFO    Thread-13 :29622 [dir_watcher.py:_on_file_created():275] file/dir created: /home/daniel/PycharmProjects/genre_classification/segregate/wandb/run-20230214_202820-m8nsvdw8/files/requirements.txt
2023-02-14 20:28:21,736 INFO    Thread-13 :29622 [dir_watcher.py:_on_file_created():275] file/dir created: /home/daniel/PycharmProjects/genre_classification/segregate/wandb/run-20230214_202820-m8nsvdw8/files/wandb-summary.json
2023-02-14 20:28:22,221 INFO    wandb-upload_0:29622 [upload_job.py:push():138] Uploaded file /tmp/tmpsxh6lih7wandb/8wofc0td-wandb-metadata.json
2023-02-14 20:28:22,847 DEBUG   SenderThread:29622 [sender.py:send():336] send: use_artifact
2023-02-14 20:28:23,735 INFO    Thread-13 :29622 [dir_watcher.py:_on_file_modified():292] file/dir modified: /home/daniel/PycharmProjects/genre_classification/segregate/wandb/run-20230214_202820-m8nsvdw8/files/output.log
2023-02-14 20:28:24,075 DEBUG   HandlerThread:29622 [handler.py:handle_request():144] handle_request: log_artifact
2023-02-14 20:28:24,075 DEBUG   SenderThread:29622 [sender.py:send_request():363] send_request: log_artifact
